기준연월,가맹점명,개설일자,음식점타입,업종,주소,주소_시,이용건수구간,이용금액구간,건당평균이용금액구간,월요일이용건수비중,화요일이용건수비중,수요일이용건수비중,목요일이용건수비중,금요일이용건수비중,토요일이용건수비중,일요일이용건수비중,5시11시이용건수비중,12시13시이용건수비중,14시17시이용건수비중,18시22시이용건수비중,23시4시이용건수비중,현지인이용건수비중,최근12개월남성회원수비중,최근12개월여성회원수비중,최근12개월20대이하회원수비중,최근12개월30대회원수비중,최근12개월40대회원수비중,최근12개월50대회원수비중,최근12개월60대이상회원수비중,주말이용건수비중,평일이용건수비중,정보,위도,경도,재방문율 평균,리뷰키워드_20개
202308,모뉴에트,20180704,음식점,단품요리 전문,제주 제주시 구좌읍 종달리 748번지 1층,제주시,상위 25~50%,상위 50~75%,상위 75~90%,0.17,0.18,0.0,0.22,0.08,0.17,0.18,0.19,0.34,0.47,0.0,0.0,0.08,0.22,0.78,0.5,0.32,0.08,0.08,0.02,0.65,0.35,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4915646,126.9022722,1.2,"## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
"
202308,만금식당,20230627,음식점,가정식,제주 서귀포시 하효동 1028-1번지 1층,서귀포시,상위 75~90%,상위 75~90%,상위 25~50%,0.12,0.21,0.06,0.06,0.06,0.27,0.21,0.45,0.48,0.06,0.0,0.0,0.17,0.64,0.36,0.06,0.19,0.43,0.23,0.09,0.52,0.48,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.2508636,126.6198055,1.0,"[기막히다, 맛있다, 푸짐하다, 친절하다, 감동, 훌륭하다, 맛없다, 딱좋다, 만족, 좋다, 맛있다, 푸짐하다, 정성, 서비스, 행복, 넉넉하다, 친절하다, 인심, 솜씨, 가성비] 
"
202308,제주포램,20230410,음식점,단품요리 전문,제주 제주시 연동 1484-5번지 연동,제주시,상위 90% 초과(하위 10% 이하),상위 75~90%,상위 10~25%,0.25,0.0,0.0,0.19,0.12,0.19,0.25,0.0,0.0,0.06,0.94,0.0,0.68,0.65,0.35,0.05,0.15,0.36,0.39,0.04,0.56,0.44,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4806597,126.4910309,1.15,"## 제주도 맛집 키워드:

양고기, 맛있다, 깔끔하다, 부드럽다, 냄새, 굿, 맛집, 
최고, 가성비, 친절, 
추천, 
환기, 
육즙, 
조아하다, 
배고프다, 
아쉽다, 
특이하다, 
신기하다, 
존맛탱, 
웨이팅, 
가격, 
야하다, 
더움 
"
202308,좋아좋아숯불갈비2호점,20230410,음식점,가정식,제주 제주시 연동 295-17번지 1층,제주시,상위 25~50%,상위 10~25%,상위 25~50%,0.23,0.15,0.15,0.04,0.07,0.14,0.22,0.01,0.05,0.14,0.8,0.0,0.84,0.66,0.34,0.06,0.23,0.33,0.22,0.15,0.64,0.36,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4838584,126.4934898,1.34,"## 제주도 맛집 키워드:

맛: 맛있다, 숯불, 갈비, 양념, 생갈비, 고기, 신선, 부드럽, 육질, 혜자, 꿀맛, 개꿀, 
만족도: 좋다, 강추, 최애, 엄청, 넘다, 대박, 
서비스: 친절, 정성, 착하다, 
분위기: 깔끔, 
음식량: 많다, 양, 푸짐, 가득, 넘치다, 
기타: 밑반찬, 든든, 가성비, 웨이팅, 포장, 
"
202308,아라돈사촌,20130311,음식점,단품요리 전문,제주 제주시 아라이동 1492-6번지,제주시,상위 90% 초과(하위 10% 이하),상위 50~75%,상위 10~25%,0.1,0.29,0.14,0.19,0.19,0.05,0.05,0.0,0.0,0.0,1.0,0.0,0.52,0.7,0.3,0.08,0.24,0.32,0.28,0.07,0.9,0.1,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.482154,126.5438394,1.04,"[흑돼지, 맛있다, 맛집, 돈사촌, 친절하다, 고기, 굽다, 제주도, 도민, 맛, 푸짐하다, 밑반찬, 가성비, 숙성, 촉촉하다, 연탄, 쫄깃, 신선하다, 넘다, 짱] 
"
202308,산지물신제주점,20070312,음식점,가정식,제주 제주시 연동 271-9번지,제주시,상위 10~25%,상위 10% 이하,상위 25~50%,0.17,0.15,0.11,0.15,0.12,0.14,0.16,0.1,0.21,0.21,0.47,0.01,0.32,0.6,0.4,0.1,0.18,0.26,0.29,0.17,0.7,0.3,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4908112,126.4910046,1.12,"[가성비, 맛있다, 훌륭하다, 최고, 맛집, 싱싱하다, 듬뿍, 푸짐, 깔끔하다, 친절하다, 괜찮다, 좋다, 굿, 맛, 만족, 양, 혜자, 신선하다, 비추, 아쉽다] 
"
202308,다가미아라점,20181008,간단음식/패스트푸드,분식,제주 제주시 아라일동 6100-3번지 1층,제주시,상위 25~50%,상위 90% 초과(하위 10% 이하),상위 90% 초과(하위 10% 이하),0.2,0.23,0.21,0.11,0.14,0.1,0.0,0.46,0.28,0.26,0.0,0.0,0.67,0.37,0.63,0.14,0.31,0.33,0.18,0.04,0.9,0.1,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4758055,126.5444813,1.38,"## 제주도 맛집 키워드 20개:

김밥, 맛있다, 크다, 묵은지, 멸치, 참치, 떡볶이, 맵다, 푸짐하다, 배부르다, 신선하다, 친절하다, 큼지막하다, 꽉차다, 든든하다, 가성비, 최고, 맛집, 유명하다, 재방문 
"
202308,사또야,20121207,음식점,가정식,제주 서귀포시 표선면 성읍리 987-14번지,서귀포시,상위 90% 초과(하위 10% 이하),상위 90% 초과(하위 10% 이하),상위 25~50%,0.14,0.14,0.23,0.23,0.14,0.14,0.0,0.0,0.18,0.27,0.55,0.0,0.1,0.52,0.48,0.05,0.2,0.25,0.28,0.22,0.86,0.14,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.3841714,126.8017721,1.08,"## 제주도 맛집 키워드:

**맛:** 흑돼지, 전복, 옥돔, 고사리, 쑥전, 흑돼지주물럭, 두루치기, 돼지고기, 삼겹살, 볶음밥, 해물뚝배기, 돌솥비빔밥, 막걸리, 김치, 밑반찬, 파김치, 콩나물, 감자볶음, 오이무침, 멸치볶음 

**만족도:** 맛있다, 싱싱하다, 부드럽다, 쫄깃하다, 푸짐하다, 든든하다, 깔끔하다, 최고, 강추, 굿, 넘 맛있다, 만족스럽다, 대박, 엄청 좋아하다, 너무 맛있다,  최고,  굿,  신선하다,  맛있다

**서비스:** 친절하다, 직접 만들다, 손질 해주다, 리필, 챙기다, 주시다, 설명해주다,  따뜻하다,  친절하다,  친절하다,  친절하다,  친절하다,  친절하다

**분위기:** 정갈하다, 깔끔하다,  따뜻하다,  편안하다,  조용하다,  아늑하다,  시골 분위기,  

**음식량:** 푸짐하다, 많다,  듬뿍,  넉넉하다,  양념,  반찬,  가짓수,  추가 
"
202308,진주식당,20181231,음식점,가정식,제주 서귀포시 서귀동 314-7번지 3층,서귀포시,상위 25~50%,상위 10~25%,상위 25~50%,0.15,0.09,0.21,0.18,0.13,0.12,0.12,0.4,0.27,0.14,0.19,0.0,0.09,0.6,0.4,0.08,0.19,0.22,0.29,0.22,0.76,0.24,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.2466681,126.559071,1.12,"## 제주도 맛집 키워드 (20개)

전복뚝배기, 돔베고기, 해물뚝배기, 오분작, 전복죽, 고등어구이, 갈치젓, 돌솥밥, 물회, 김치찌개, 맛, 시원하다, 푸짐하다, 싱싱하다, 깔끔하다, 친절하다, 만족스럽다, 든든하다, 비싸다, 실망스럽다 
"
202308,서귀포모녀식당,20221229,음식점,단품요리 전문,제주 제주시 연동 313-49번지,제주시,상위 50~75%,상위 75~90%,상위 50~75%,0.13,0.15,0.25,0.09,0.2,0.18,0.0,0.4,0.44,0.07,0.09,0.0,0.56,0.6,0.4,0.09,0.2,0.36,0.25,0.1,0.82,0.18,"202308 기준 '모뉴에트'(주소: 제주 제주시 구좌읍 종달리 748번지 1층)은/는 20180704에 개설되었습니다. 음식점 타입은 음식점이며 단품요리 전문 업종입니다. 이용 시간대별 비중은 5~11시 0.19%, 12~13시 0.34%, 14~17시 0.47%, 18~22시 0.0%, 23~4시 0.0%입니다. 요일별 이용 비중은 월요일 0.17, 화요일 0.18, 수요일 0.0, 목요일 0.22, 금요일 0.08, 토요일 0.17, 일요일 0.18입니다. 평일 0.35, 주말0.65현지인 이용 비중은 0.08입니다. 최근 12개월간 남성 회원 비중은 0.22, 여성 회원 비중은 0.78 입니다. 연령대별 회원 비중은 20대 이하 0.5, 30대 0.32, 40대 0.08, 50대 0.08, 60대 이상 0.02입니다. 이 가맹점의 이용 건수 구간은 3_25~50%이며, 이용 금액 구간은 4_50~75%입니다. 건당 평균 이용 금액 구간은 5_75~90%입니다. 해당 가맹점의 고객 평균 재방문율은 1.2 입니다. 해당 가맹점에 대한 이용객의 리뷰 키워드는 다음과 같습니다: ## 제주도 맛집 키워드 (20개):

* 까눌레
* 맛있다
* 분위기
* 음악
* 좋다
* 친절하다
* 힐링
* 멋지다
* 아늑하다
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
",33.4874982,126.4987843,1.2,"[맛집, 제주, 공항, 아침식사, 한정식, 맛있다, 푸짐하다, 반찬, 깔끔하다, 친절하다, 가성비, 든든하다, 싹싹, 비우다, 정갈하다, 집밥, 엄마, 생선, 국, 숭늉, 튀김] 
"
